"account_number","first_name","last_name","age","gender","phone_number","address","bank_account_type","date_of_account_opening","branch_code","password_hash","created_at","last_login","login_attempts","last_failed_attempt"
678912345678,"William","Martinez",45,"Male","(619) 555-5678","654 Elm St, Fresno, CA 93704","Savings","2017-09-18","FRS567","$2b$12$ccy13tNmwSR3OMN5cJ926eqW6.LHeV07nSGQxeul7KNTD8PnKWn/W","2025-03-31 22:05:19.915695","2025-03-31 18:39:42.605139",1,"2025-03-31 18:40:18.747627"
345678912345,"Emily","Johnson",28,"Female","(213) 555-2345","456 Oak St, San Francisco, CA 94102","Savings","2020-03-10","SF234","$2b$12$cUzTulS9isqTKtGWAKLbYek9/q6Cnq/tAy3JKj0hPSVI9UuTr7.8C","2025-03-31 22:05:19.915695","2025-03-31 18:52:47.149914",0,NULL
456789123456,"Michael","Brown",40,"Male","(310) 555-3456","789 Pine St, San Diego, CA 92103","Business","2019-11-20","SD345","$2b$12$itk1LADr/KYVJOYhOaE0Eev6tOCEMjZWOts/7i4T2CCuOR7LeJcVS","2025-03-31 22:05:19.915695",NULL,0,NULL
567891234567,"Sarah","Davis",35,"Female","(415) 555-4567","321 Cedar St, Sacramento, CA 94203","Checking","2018-07-22","SAC456","$2b$12$Clu.7px3ZeSXXRV4iVNeduAlL65aAJ/P5DD.zPCTh414uq0Kc/H1K","2025-03-31 22:05:19.915695",NULL,0,NULL
789123456789,"Olivia","Garcia",29,"Female","(818) 555-6789","987 Birch St, Long Beach, CA 90805","Business","2022-02-12","LB678","$2b$12$8tPGGx4ypm3wdxYEtzXhsuvW54Xzof2nFtnIVOShA5L/oIwm6EQDm","2025-03-31 22:05:19.915695",NULL,0,NULL
891234567890,"James","Wilson",38,"Male","(510) 555-7890","135 Cypress St, Oakland, CA 94607","Checking","2016-04-28","OAK789","$2b$12$Bf8LJX5Mjf7.NM4DRLeAKOXx/5TjbrksAp9hfA9QEp9TL5nK4MF82","2025-03-31 22:05:19.915695",NULL,0,NULL
912345678901,"Sophia","Anderson",27,"Female","(714) 555-8901","246 Palm St, Anaheim, CA 92801","Savings","2023-01-05","ANA890","$2b$12$n.6ANgU9OiJLDgCuE8CI7OnE6ePqxfi2YNSQI.gEl7shQx8rR19O.","2025-03-31 22:05:19.915695",NULL,0,NULL
234567890123,"Isabella","Lee",31,"Female","(626) 555-0123","753 Fir St, Pasadena, CA 91104","Checking","2021-08-23","PAS012","$2b$12$TXFBwMjLoVwgOpH81Zmea.BrdtDt4VNka7hULLCDrWgaVArikNsru","2025-03-31 22:05:19.915695",NULL,0,NULL
123456789012,"David","Thomas",42,"Male","(909) 555-9012","369 Redwood St, Riverside, CA 92503","Business","2015-12-17","RV901","$2b$12$kZHkGqie/khaxAar1FG/7.ZCd/5.Gwi.HPwWH/sH9RR6bwNEcv14u","2025-03-31 22:05:19.915695","2025-04-01 18:35:02.678389",0,NULL
234567891234,"John","Smith",32,"Male","(323) 555-1234","123 Maple St, Los Angeles, CA 90001","Checking","2021-05-15","LA123","$2b$12$7IIAIQG1iVXCqhgjqvOpvOgQDRlUnFS0C7T9ElMYFSoXobEpg5eSe","2025-03-31 22:05:19.915695",NULL,0,NULL
